prime,A,x0,trials,param_a_count,class_number
100303653077,67617199897,44480759965,34885,3,105840
100303653077,60993580584,56282168661,73968,3,105840
100303653077,90305514983,4452006651,295690,3,179000
100303653077,34337947124,67650550798,67197,3,179000
100303653077,18480429045,69184809912,23736,3,77170
101166153397,97291071049,60842037101,61204,3,257280
101166153397,38250440710,46262410959,21043,3,257280
101166153397,9467365063,7318500908,177116,3,257280
101166153397,73232387213,96901396314,10428,3,257280
101166153397,47921784037,92238365473,42569,3,257280
101938673917,65131103347,41360718620,70247,2,269184
101938673917,87129448230,81884778216,32365,2,269184
101938673917,97524959765,65452251148,39375,2,269184
101938673917,54406703011,99571250526,78598,2,269184
101938673917,75377646052,8222521285,43610,2,269184
102191611177,39219260031,88332256017,34799,3,300288
102191611177,99691741613,42553557603,19299,3,300288
102191611177,1367859076,49706963371,76285,3,109184
102191611177,58251067994,15629882883,39307,3,300288
102191611177,55152064602,5570070611,91237,3,109184
102331516103,30619742036,52682954130,101497,3,151504
102331516103,5745619397,94796255359,209660,3,107876
102331516103,26721188448,50962007273,40844,3,107876
102331516103,68535885026,65176973898,46887,3,107876
102331516103,74559492194,61803698809,172059,3,82300
102648147733,97172670231,41384768910,86002,3,381040
102648147733,77086732266,32440725294,83006,3,381040
102648147733,1332969760,45982823569,8572,3,381040
102648147733,55725311974,57447674606,53214,3,381040
102648147733,81968980874,80704997873,17224,3,381040
102719400659,49330287609,25718696156,49876,2,235467
102719400659,20983393184,80540453907,28889,2,235467
102719400659,76524225953,70307384563,183910,2,135174
102719400659,19893018936,70051660504,29317,2,135174
102719400659,61377724313,40351277881,50950,2,235467
102809736881,76537626160,14049802250,38598,3,236736
102809736881,80841977227,26214055592,128612,3,236736
102809736881,49876532748,34106378267,4117,3,236736
102809736881,58061313208,20241406680,11807,3,236736
102809736881,91571707239,25013410776,76617,3,77760
102992353423,67684542863,48366976015,123003,2,172752
102992353423,89422571756,10298221272,15486,2,172752
102992353423,79414630335,61083788546,26192,2,172752
102992353423,43134305973,102745575072,6850,2,172752
102992353423,11358033050,79800497816,5187,2,172752
103128172747,13847984491,66421069249,65466,2,203004
103128172747,47749774119,80941136374,6118,2,203004
103128172747,94394810016,45179711494,37624,2,203004
103128172747,58208284337,82884278520,14039,2,136416
103128172747,56433509145,34762849732,17644,2,136416
103435489189,61744831140,33718297534,30894,2,276832
103435489189,7568009684,51536386960,74880,2,276832
103435489189,59330119120,17846424977,22865,2,109312
103435489189,48788335828,91817135460,33001,2,276832
103435489189,95955345289,67138343017,31149,2,276832
103860252283,39283221176,50871020385,86443,2,248512
103860252283,41985293469,3440784599,166846,2,248512
103860252283,94046865206,59107636997,48744,2,248512
103860252283,51580043593,96920613330,48446,2,248512
103860252283,24793931931,58695773055,94760,2,248512
103860542021,10787024168,87704465241,18945,2,360144
103860542021,85170972402,38320242559,232522,2,185256
103860542021,29986777999,7269386905,48908,2,185256
103860542021,71146097151,77257334870,107564,2,185256
103860542021,73791398111,22989215176,52027,2,185256
104119298609,31123823149,59486711285,91756,3,115552
104119298609,94077873725,33119963077,116245,3,115552
104119298609,85963184161,5034630049,41229,3,152352
104119298609,15312477524,3966741967,41760,3,115552
104119298609,6208584636,50999419921,90867,3,152352
105138546991,49565186082,53725140205,3653,3,204560
105138546991,86366806806,90624327603,234497,3,94800
105138546991,74542840089,77396467327,42095,3,94800
105138546991,38430221499,45705430267,656,3,204560
105138546991,18813297573,65430774209,141098,3,204560
105194274137,24482116666,10263925215,35677,3,213184
105194274137,50468134916,25993261738,37105,3,213184
105194274137,43824730344,29651260329,175535,3,145176
105194274137,93905621227,7368453558,22950,3,213184
105194274137,43068715708,85456908117,78901,3,145176
105207410369,90366596566,24758460088,53172,3,166144
105207410369,71739310189,63895108808,174717,3,254208
105207410369,3576045848,69610288200,7161,3,254208
105207410369,39083481824,63164399208,4372,3,166144
105207410369,74496069895,36846420289,23741,3,166144
105271850531,86443651127,88362437138,5763,3,349804
105271850531,103321804309,14024096862,20283,3,349804
105271850531,18939733328,99262830545,19012,3,349804
105271850531,34123404839,33079320275,10739,3,349804
105271850531,16463391488,60773241322,13126,3,349804
105539327573,10943815282,89170182892,22904,2,409872
105539327573,102516116090,41161002768,27379,2,409872
105539327573,96524034506,16313036484,32606,2,409872
105539327573,46927874579,30989723019,1164,2,409872
105539327573,56833862137,90577851823,1707,2,409872
105705739837,72396761409,72684495455,128474,2,182896
105705739837,10993048562,19641012779,9262,2,182896
105705739837,58662668829,93611775617,80255,2,182896
105705739837,63097419969,87282603166,31445,2,182896
105705739837,27783747468,44650294116,171063,2,182896
105897995143,26014391273,53060276581,33667,2,134796
105897995143,36686836473,15259296866,219443,2,134796
105897995143,78615453108,1108870831,183845,2,134796
105897995143,105023850981,314097820,51120,2,219960
105897995143,84900014949,29225596845,26067,2,219960
106189501993,94557121270,69302016265,4972,2,176040
106189501993,78948437169,42885360108,90899,2,161856
106189501993,51837475633,96500851214,64217,2,161856
106189501993,12862338927,96383336853,113183,2,176040
106189501993,56085521026,22782324898,46358,2,176040
106472056861,28112805568,52605475829,177745,2,120784
106472056861,20357088736,100934382109,9424,2,120784
106472056861,91431169617,6917367298,129821,2,226656
106472056861,97899194012,74807323019,7951,2,120784
106472056861,59877541297,10365798076,85511,2,120784
107222341657,18956138382,63789288904,376626,2,259776
107222341657,39380947121,66632032774,6775,2,259776
107222341657,47008618203,105227230647,19415,2,259776
107222341657,15985158638,82734725271,16613,2,259776
107222341657,5197175680,9198564142,398244,2,88032
107319916073,26090734369,66463955435,5999,2,275948
107319916073,48712144555,68124271758,112342,2,109280
107319916073,65311968808,20753339651,1579,2,275948
107319916073,105563267051,89983734663,102910,2,275948
107319916073,3165308509,46003675002,16434,2,275948
107501757131,93084362063,70040196294,68969,2,242148
107501757131,36883460621,38712008461,17205,2,176844
107501757131,1564089702,51573905708,18946,2,242148
